,0
1162,-11005.9552592663
1163,-10970.287190353554
1164,-10933.477454442125
1165,-10895.533238660371
1166,-10856.461825006454
1167,-10816.270911480975
1168,-10774.968877723712
1169,-10732.5648477105
1170,-10689.068518938779
1171,-10644.489830035054
1172,-10598.83856689393
1173,-10552.123952169193
1174,-10504.35424948498
1175,-10455.53644459794
1176,-10405.676025942881
1177,-10354.77682505021
1178,-10302.84088291933
1179,-10249.868357008667
1180,-10195.857530551733
1181,-10140.805013434905
1182,-10084.706215151587
1183,-10027.55605640547
1184,-9969.34971037647
1185,-9910.083174661302
1186,-9849.753682789338
1187,-9788.360070933031
1188,-9725.903107776086
1189,-9662.385666692979
1190,-9597.81265611655
1191,-9532.190747699653
1192,-9465.527985731684
1193,-9397.833365549202
1194,-9329.116490054343
1195,-9259.387373863396
1196,-9188.656358851604
1197,-9116.934039454094
1198,-9044.23114509166
1199,-8970.558429373268
1200,-8895.926647476233
1201,-8820.346645617166
1202,-8743.829503463458
1203,-8666.386653971293
1204,-8588.029994190298
1205,-8508.772060619192
1206,-8428.62628739571
1207,-8347.607296011645
1208,-8265.731129769292
1209,-8183.015332583788
1210,-8099.478809701087
1211,-8015.141477348677
1212,-7930.02378347762
1213,-7844.14624979168
1214,-7757.529153284516
1215,-7670.192342419356
1216,-7582.155141416005
1217,-7493.436336983087
1218,-7404.054197574561
1219,-7314.02639137595
1220,-7223.369739923961
1221,-7132.099907377216
1222,-7040.231156871717
1223,-6947.776204115029
1224,-6854.746133878314
1225,-6761.150379549853
1226,-6666.996806918198
1227,-6572.291924402866
1228,-6477.041203852173
1229,-6381.249461406386
1230,-6284.921231803608
1231,-6188.061094069232
1232,-6090.673925228074
1233,-5992.7650553260055
1234,-5894.340301782324
1235,-5795.405896563868
1236,-5695.968382906901
1237,-5596.034553691706
1238,-5495.611422316716
1239,-5394.706184459238
1240,-5293.3261536703685
1241,-5191.478689963084
1242,-5089.171188247448
1243,-4986.4111964931535
1244,-4883.206656066087
1245,-4779.566183247679
1246,-4675.499318256902
1247,-4571.016707007165
1248,-4466.130196969343
1249,-4360.852850364388
1250,-4255.198920161939
1251,-4149.183860298644
1252,-4042.82440184404
1253,-3936.1386317157308
1254,-3829.1459697945556
1255,-3721.867018776454
1256,-3614.323348972752
1257,-3506.5372587789316
1258,-3398.5314865378436
1259,-3290.3288516999814
1260,-3181.9518625176092
1261,-3073.422382594032
1262,-2964.761432005909
1263,-2855.9891040097077
1264,-2747.124534956054
1265,-2638.185924191986
1266,-2529.1906439225972
1267,-2420.1554300828166
1268,-2311.0965215517795
1269,-2202.0295518267217
1270,-2092.9691445267827
1271,-1983.9283668676417
1272,-1874.9182124966947
1273,-1765.947191607232
1274,-1657.0210699820302
1275,-1548.1428095777353
1276,-1439.3127466185795
1277,-1330.5289854101495
1278,-1221.7879167465849
1279,-1113.0847493243589
1280,-1004.4140187829043
1281,-895.7701345078607
